                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52729,                 2.6127,                 1.1916,                0.41761,                0.44704,                0.23965,                0.18983,                0.75701,                 2.0812,                 1.0427,             0.00015801,             0.00015801,             0.00015801
                      2,                0.39301,                 1.5684,                 1.0838,                0.48554,                0.41659,                0.25478,                0.19715,                0.84163,                 1.8417,                 1.0702,             0.00031354,             0.00031354,             0.00031354
                      3,                0.38977,                 1.4524,                 1.0857,                0.44639,                0.42627,                0.28953,                0.21785,                0.76268,                 1.6674,                 1.0429,             0.00046593,             0.00046593,             0.00046593
                      4,                0.38433,                  1.384,                 1.0754,                 0.4731,                0.44484,                0.28101,                0.21672,                0.85715,                  1.636,                 1.1426,             0.00046186,             0.00046186,             0.00046186
                      5,                  0.362,                 1.3116,                 1.0584,                0.29684,                 0.5389,                0.30836,                0.23669,                0.74871,                 1.5118,                  1.003,             0.00046186,             0.00046186,             0.00046186
                      6,                0.34123,                 1.2656,                 1.0462,                0.35457,                0.48135,                0.31441,                0.23165,                0.83382,                 1.5504,                 1.0589,             0.00045715,             0.00045715,             0.00045715
                      7,                0.33712,                 1.2242,                 1.0424,                0.41603,                0.57163,                0.37462,                0.28315,                0.73204,                 1.4403,                0.95143,             0.00045244,             0.00045244,             0.00045244
                      8,                0.32329,                 1.1921,                 1.0321,                0.41377,                0.60272,                0.39028,                0.30206,                0.65959,                 1.3463,                0.89729,             0.00044773,             0.00044773,             0.00044773
                      9,                0.31438,                 1.1466,                 1.0196,                0.37353,                0.63392,                0.38023,                0.28981,                0.63956,                 1.3244,                0.86746,             0.00044301,             0.00044301,             0.00044301
                     10,                0.30069,                 1.1254,                 1.0143,                0.38244,                0.68468,                0.39376,                0.30493,                0.63619,                 1.2459,                0.84445,              0.0004383,              0.0004383,              0.0004383
                     11,                0.30804,                 1.1268,                 1.0137,                0.40879,                0.63426,                0.38637,                0.30312,                0.60313,                 1.2816,                0.82314,             0.00043359,             0.00043359,             0.00043359
                     12,                0.29322,                 1.1046,                 1.0045,                0.37783,                0.64846,                0.40523,                0.31934,                0.62393,                 1.2945,                0.87998,             0.00042888,             0.00042888,             0.00042888
                     13,                0.28664,                 1.0634,                 1.0004,                0.39563,                0.73089,                0.43877,                0.32592,                0.60306,                 1.1869,                0.83808,             0.00042416,             0.00042416,             0.00042416
                     14,                0.28104,                 1.0634,                 1.0017,                0.42496,                 0.7337,                0.43267,                0.34328,                0.54465,                 1.1487,                0.77584,             0.00041945,             0.00041945,             0.00041945
                     15,                0.26733,                 1.0495,                0.98972,                0.39754,                0.73222,                0.44048,                0.33966,                 0.6189,                 1.1811,                0.84655,             0.00041474,             0.00041474,             0.00041474
                     16,                0.27257,                 1.0382,                0.99091,                0.45129,                0.76005,                0.47437,                0.36992,                0.52739,                 1.0948,                0.74792,             0.00041003,             0.00041003,             0.00041003
                     17,                0.25908,                 1.0235,                0.98402,                0.43965,                0.80875,                0.47652,                0.39117,                  0.537,                 1.0829,                 0.7754,             0.00040531,             0.00040531,             0.00040531
                     18,                0.25544,                 1.0088,                0.98282,                0.41473,                 0.8081,                0.46176,                0.36694,                0.52202,                 1.0956,                0.74658,              0.0004006,              0.0004006,              0.0004006
                     19,                0.25874,                 1.0097,                0.98463,                0.42927,                0.81132,                0.47056,                0.37549,                0.55854,                 1.0852,                0.78621,             0.00039589,             0.00039589,             0.00039589
                     20,                0.25213,                0.99406,                0.98177,                0.44445,                0.75728,                0.46552,                0.37747,                0.48107,                 1.1144,                0.69091,             0.00039118,             0.00039118,             0.00039118
                     21,                0.25118,                0.98936,                0.98242,                0.43557,                0.77819,                0.45523,                0.36579,                0.51627,                 1.0941,                0.73857,             0.00038646,             0.00038646,             0.00038646
                     22,                0.24278,                0.97761,                0.97433,                0.44656,                0.75873,                0.46419,                0.37468,                0.54488,                 1.1366,                0.76998,             0.00038175,             0.00038175,             0.00038175
                     23,                0.24321,                0.97456,                 0.9679,                0.43843,                0.81147,                0.45999,                0.36524,                0.54889,                 1.1096,                0.78679,             0.00037704,             0.00037704,             0.00037704
                     24,                0.23945,                0.97884,                0.97273,                0.46319,                0.80438,                0.47507,                0.39696,                0.51884,                 1.0675,                0.76039,             0.00037233,             0.00037233,             0.00037233
                     25,                0.24275,                0.96306,                0.97009,                0.42649,                0.84202,                0.47984,                 0.3944,                0.51964,                 1.0403,                0.76851,             0.00036761,             0.00036761,             0.00036761
                     26,                0.23821,                0.94367,                0.96795,                0.43704,                0.84727,                0.48184,                0.39234,                0.50039,                 1.0729,                0.71861,              0.0003629,              0.0003629,              0.0003629
                     27,                0.23199,                0.94329,                0.96641,                0.45289,                0.84867,                0.48629,                0.40259,                0.49978,                 1.0496,                0.74394,             0.00035819,             0.00035819,             0.00035819
                     28,                0.22523,                0.94444,                0.96359,                0.44066,                0.83683,                0.47191,                0.39273,                0.50019,                 1.0659,                0.73012,             0.00035348,             0.00035348,             0.00035348
